,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
22,18 years and over,"50,639","102,578","105,483","2,930,390","163,770","76,305","769,992","288,933","174,565","145,601",2012
23,Male,"25,212","52,376","51,563","1,432,998","82,569","37,876","374,850","153,185","84,698","73,725",2012
24,Female,"25,427","50,202","53,920","1,497,392","81,201","38,429","395,142","135,748","89,867","71,876",2012
25,65 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2012
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2012
27,Female,"9,136","24,722","13,048","511,801","50,632","15,392","164,240","60,906","55,586","32,731",2012
28,RACE,"4,154","11,629","6,152","228,701","24,782","7,179","73,861","29,973","26,213","15,657",2012
29,Total population,"4,982","13,093","6,896","283,100","25,850","8,213","90,379","30,933","29,373","17,074",2012
30,One race,,,,,,,,,,,2012
31,Two or more races,"73,195","132,088","136,011","3,942,169","203,334","107,094","992,394","387,365","212,637","200,022",2012
32,One race,"71,831","124,596","131,567","3,833,084","193,541","104,575","956,920","379,741","208,734","195,985",2012
33,White,"1,364","7,492","4,444","109,085","9,793","2,519","35,474","7,624","3,903","4,037",2012
34,Black or African American,"71,831","124,596","131,567","3,833,084","193,541","104,575","956,920","379,741","208,734","195,985",2012
35,American Indian and Alaska Native,"16,846","101,432","86,250","3,172,111","174,551","50,237","770,541","309,024","194,738","152,891",2012
36,Cherokee tribal grouping,245,"6,352","2,439","210,034","2,385",847,"38,493","18,388","1,425","4,053",2012
37,Chippewa tribal grouping,"53,160","1,273","36,848","73,790","2,228","46,952","30,129","23,437","4,319","2,003",2012
38,Navajo tribal grouping,N,N,N,"1,989",N,N,419,N,N,N,2012
39,Sioux tribal grouping,N,N,N,614,N,N,0,N,N,N,2012
40,Asian,N,N,N,"23,872",N,N,"3,052",N,N,N,2012
41,Asian Indian,N,N,N,"1,366",N,N,51,N,N,N,2012
42,Chinese,394,"1,922","2,057","145,155","2,244",174,"26,525","6,859","1,974","2,506",2012
43,Filipino,N,N,N,"38,729",N,N,"4,120",N,N,N,2012
44,Japanese,N,N,N,"26,082",N,N,"6,320",N,N,N,2012
45,Korean,N,N,N,"23,362",N,N,"3,018",N,N,N,2012
46,Vietnamese,N,N,N,"6,352",N,N,"2,499",N,N,N,2012
47,Other Asian,N,N,N,"11,259",N,N,"4,274",N,N,N,2012
48,Native Hawaiian and Other Pacific Islander,N,N,N,"19,977",N,N,"1,919",N,N,N,2012
49,Native Hawaiian,N,N,N,"19,394",N,N,"4,375",N,N,N,2012
50,Guamanian or Chamorro,105,49,220,"7,655",364,216,"1,189",588,0,"1,443",2012
51,Samoan,N,N,N,"2,216",N,N,N,N,N,N,2012
52,Other Pacific Islander,N,N,N,"1,903",N,N,N,N,N,N,2012
53,Some other race,N,N,N,970,N,N,N,N,N,N,2012
54,Two or more races,N,N,N,"2,566",N,N,N,N,N,N,2012
55,White and Black or African American,"1,081","13,568","3,753","224,339","11,769","6,149","90,043","21,445","6,278","33,089",2012
56,White and American Indian and Alaska Native,"1,364","7,492","4,444","109,085","9,793","2,519","35,474","7,624","3,903","4,037",2012
57,White and Asian,193,951,58,"24,504",286,133,"5,863","1,282",399,582,2012
58,Black or African American and American Indian and Alaska Native,735,"1,619","1,323","20,380","5,986","1,255","5,537","2,032","2,088","1,169",2012
59,Race alone or in combination with one or more other races,15,"1,409",788,"22,734","1,480",194,"5,784","1,197",725,626,2012
60,Total population,182,15,114,"2,653",183,198,"1,249",132,157,120,2012
61,White,,,,,,,,,,,2012
62,Black or African American,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2012
63,American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2012
64,Asian,"17,992","107,810","89,099","3,265,174","183,693","52,308","797,670","316,066","198,350","156,561",2012
65,Native Hawaiian and Other Pacific Islander,620,"8,420","2,667","245,700","2,874","1,223","49,411","20,479","1,981","5,002",2012
66,Some other race,"54,143","2,978","38,294","104,108","8,885","48,747","40,878","26,082","6,590","3,292",2012
67,HISPANIC OR LATINO AND RACE,495,"4,148","2,987","180,212","3,762",N,"37,038","8,468","2,857","3,180",2012
68,Total population,157,"1,114","2,061","17,347",N,N,"6,573",875,N,"1,531",2012
69,Hispanic or Latino (of any race),"1,210","15,632","5,489","247,402","13,545","6,687","99,093","23,531","6,654","34,541",2012
70,Mexican,,,,,,,,,,,2012
71,Puerto Rican,"73,195","132,088","136,011","3,942,169","203,334","107,094","992,394","387,365","212,637","200,022",2012
72,Cuban,"4,503","43,718","18,572","1,181,994","31,351","11,639","351,799","112,145","29,580","121,053",2012
73,Other Hispanic or Latino,N,"39,200","13,791","1,059,773","27,364",N,"315,127","103,010","26,951","117,132",2012
74,Not Hispanic or Latino,N,"1,976","1,903","21,597",20,N,"5,379","2,037",407,"1,177",2012
75,White alone,N,68,35,"9,008",346,N,"1,660",586,0,90,2012
76,Black or African American alone,N,"2,474","2,843","91,616","3,621",N,"29,633","6,512","2,222","2,654",2012
77,American Indian and Alaska Native alone,"68,692","88,370","117,439","2,760,175","171,983","95,455","640,595","275,220","183,057","78,969",2012
78,Asian alone,"14,302","75,946","75,031","2,277,011","159,332","46,279","538,133","224,675","173,197","68,595",2012
79,Native Hawaiian and Other Pacific Islander alone,245,"5,777","2,122","196,477","2,385",600,"33,801","16,725","1,379","3,119",2012
80,Some other race alone,"52,612",838,"35,360","60,387","1,866","46,424","23,087","21,787","3,134","1,696",2012
81,Two or more races,394,"1,922","2,057","142,459","1,988",174,"24,850","6,505","1,902","2,475",2012
82,Two races including Some other race,52,49,82,"7,613",364,216,978,286,0,"1,020",2012
83,"Two races excluding Some other race, and Three or more races",0,0,45,"5,273",191,0,"1,174",464,0,0,2012
84,Total housing units,"1,087","3,838","2,742","70,955","5,857","1,762","18,572","4,778","3,445","2,064",2012
