,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
35,American Indian and Alaska Native,"17,178","107,321","84,389","3,202,752","184,282","53,703","775,006","319,854","198,393","153,889",2013
36,Cherokee tribal grouping,395,"5,157","2,577","207,145","2,612",655,"33,917","18,157","1,316","4,660",2013
37,Chippewa tribal grouping,"51,837","1,530","35,829","74,761","4,842","45,631","31,306","19,047","4,282","2,297",2013
38,Navajo tribal grouping,N,N,N,"2,371",191,N,382,235,N,N,2013
39,Sioux tribal grouping,N,N,N,936,0,N,104,72,N,N,2013
40,Asian,N,N,N,"28,724",233,N,"3,250","1,400",N,N,2013
41,Asian Indian,N,N,N,"1,047",95,N,94,0,N,N,2013
42,Chinese,326,"2,215","1,734","147,957","2,556",570,"25,044","5,735","1,576","2,275",2013
43,Filipino,N,N,N,"38,813",N,N,"1,707",826,N,N,2013
44,Japanese,N,N,N,"25,573",N,N,"7,130",229,N,N,2013
45,Korean,N,N,N,"25,557",N,N,"4,767","1,772",N,N,2013
46,Vietnamese,N,N,N,"7,234",N,N,"2,852",432,N,N,2013
47,Other Asian,N,N,N,"10,044",N,N,"1,436",152,N,N,2013
48,Native Hawaiian and Other Pacific Islander,N,N,N,"21,389",N,N,"3,329","1,067",N,N,2013
49,Native Hawaiian,N,N,N,"19,347",N,N,"3,823","1,257",N,N,2013
50,Guamanian or Chamorro,150,0,277,"8,005",162,430,"1,649","1,592",0,0,2013
51,Samoan,N,N,N,"2,363",N,N,N,N,N,N,2013
52,Other Pacific Islander,N,N,N,"1,994",N,N,N,N,N,N,2013
53,Some other race,N,N,N,"1,275",N,N,N,N,N,N,2013
54,Two or more races,N,N,N,"2,373",N,N,N,N,N,N,2013
55,White and Black or African American,191,"7,644","6,133","241,330","3,559","2,245","90,384","13,494","5,080","33,299",2013
56,White and American Indian and Alaska Native,"1,857","5,606","5,600","127,462","5,017","4,088","39,248","11,471","4,486","4,781",2013
57,White and Asian,550,695,225,"26,880",599,446,"7,504","1,345",702,448,2013
58,Black or African American and American Indian and Alaska Native,882,"1,334","2,982","22,616","2,571","2,586","7,410","2,738","1,333","1,312",2013
59,Race alone or in combination with one or more other races,191,"1,308","1,033","31,459",489,0,"8,642","2,258","1,387",863,2013
60,Total population,207,0,31,"4,104",254,248,922,638,15,119,2013
61,White,,,,,,,,,,,2013
62,Black or African American,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2013
63,American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2013
64,Asian,"18,801","111,723","89,296","3,311,566","188,261","56,884","808,449","329,337","202,507","157,726",2013
65,Native Hawaiian and Other Pacific Islander,"1,152","7,266","2,970","248,142","3,660","1,403","46,498","21,633","2,190","5,726",2013
66,Some other race,"52,953","3,037","39,039","110,563","7,875","48,721","41,591","23,695","5,898","4,184",2013
67,HISPANIC OR LATINO AND RACE,517,"4,687","3,331","192,303","3,570","1,068","37,407","9,012","3,061","3,323",2013
68,Total population,N,N,906,"16,191",751,N,"2,782","2,704",N,N,2013
69,Hispanic or Latino (of any race),218,"8,590","6,754","267,938","4,074","2,926","101,779","15,677","5,908","35,153",2013
70,Mexican,,,,,,,,,,,2013
71,Puerto Rican,"71,934","129,473","136,539","4,009,412","203,030","107,322","996,554","389,350","215,133","201,201",2013
72,Cuban,"4,500","43,895","18,922","1,203,221","31,467","11,792","355,741","112,963","30,045","123,022",2013
73,Other Hispanic or Latino,N,"39,362",N,"1,074,388","26,117",N,"323,946","101,264","26,597","118,433",2013
74,Not Hispanic or Latino,N,"1,560",N,"29,030",897,N,"5,411","4,668",341,"1,163",2013
75,White alone,N,437,N,"9,467",158,N,"2,523",274,"2,089",193,2013
76,Black or African American alone,N,"2,536",N,"90,336","4,295",N,"23,861","6,757","1,018","3,233",2013
77,American Indian and Alaska Native alone,"67,434","85,578","117,617","2,806,191","171,563","95,530","640,813","276,387","185,088","78,179",2013
78,Asian alone,"13,814","73,480","74,754","2,303,560","159,135","45,662","534,933","226,420","174,406","67,086",2013
79,Native Hawaiian and Other Pacific Islander alone,348,"5,047","2,260","196,496","2,422",413,"31,797","17,604","1,316","4,319",2013
80,Some other race alone,"51,267","1,019","34,340","60,332","4,183","44,871","23,704","17,385","4,063","1,878",2013
81,Two or more races,326,"2,215","1,680","145,413","2,253",570,"24,390","5,661","1,314","2,275",2013
82,Two races including Some other race,150,0,277,"7,648",162,430,"1,606","1,592",0,0,2013
83,"Two races excluding Some other race, and Three or more races",69,48,208,"4,075",46,19,"2,310",124,128,220,2013
84,Total housing units,"1,460","3,769","4,098","88,667","3,362","3,565","22,073","7,601","3,861","2,401",2013
