,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
21,65 years and over,"9,430","25,160","15,520","565,983","55,039","17,129","178,045","71,896","61,708","35,937",2014
22,18 years and over,"50,921","99,047","107,652","3,063,198","165,353","77,683","784,677","303,709","180,787","150,067",2014
23,Male,"25,071","50,360","52,565","1,497,445","82,650","38,647","381,770","159,814","87,225","76,616",2014
24,Female,"25,850","48,687","55,087","1,565,753","82,703","39,036","402,907","143,895","93,562","73,451",2014
25,65 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2014
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2014
27,Female,"9,430","25,160","15,520","565,983","55,039","17,129","178,045","71,896","61,708","35,937",2014
28,RACE,"4,319","12,055","7,314","254,649","27,182","8,151","80,379","34,774","29,680","17,079",2014
29,Total population,"5,111","13,105","8,206","311,334","27,857","8,978","97,666","37,122","32,028","18,858",2014
30,One race,,,,,,,,,,,2014
31,Two or more races,"71,828","127,448","137,682","4,087,191","203,361","108,101","1,004,516","401,918","218,844","203,247",2014
32,One race,"70,029","120,378","133,769","3,953,874","199,831","105,245","960,943","387,769","213,826","197,579",2014
33,White,"1,799","7,070","3,913","133,317","3,530","2,856","43,573","14,149","5,018","5,668",2014
34,Black or African American,"70,029","120,378","133,769","3,953,874","199,831","105,245","960,943","387,769","213,826","197,579",2014
35,American Indian and Alaska Native,"16,135","106,504","88,024","3,228,764","183,875","52,249","777,131","325,699","199,264","159,621",2014
36,Cherokee tribal grouping,839,"4,774","2,159","209,043","2,462",895,"34,178","18,514","1,241","4,723",2014
37,Chippewa tribal grouping,"51,844","1,562","36,043","76,490","5,709","48,675","32,490","20,752","3,310","1,765",2014
38,Navajo tribal grouping,N,N,N,"1,393",N,N,477,N,N,N,2014
39,Sioux tribal grouping,N,N,N,"1,132",N,N,110,N,N,N,2014
40,Asian,N,N,N,"27,287",N,N,"3,910",N,N,N,2014
41,Asian Indian,N,N,N,"1,339",N,N,768,N,N,N,2014
42,Chinese,350,"2,552","3,038","162,396","2,462",706,"26,807","7,979","2,265","2,407",2014
43,Filipino,N,9,N,"41,651",N,N,"2,858",553,N,N,2014
44,Japanese,N,89,N,"27,481",N,N,"7,506",332,N,N,2014
45,Korean,N,621,N,"28,630",N,N,"3,024","2,937",N,N,2014
46,Vietnamese,N,145,N,"5,420",N,N,"1,801",698,N,N,2014
47,Other Asian,N,745,N,"11,767",N,N,"1,442",651,N,N,2014
48,Native Hawaiian and Other Pacific Islander,N,725,N,"24,446",N,N,"4,881",653,N,N,2014
49,Native Hawaiian,N,218,N,"23,001",N,N,"5,295","2,155",N,N,2014
50,Guamanian or Chamorro,0,61,106,"9,032",8,62,"1,901","1,448",6,13,2014
51,Samoan,N,N,N,"1,289",N,N,N,N,N,N,2014
52,Other Pacific Islander,N,N,N,"1,960",N,N,N,N,N,N,2014
53,Some other race,N,N,N,"1,815",N,N,N,N,N,N,2014
54,Two or more races,N,N,N,"3,968",N,N,N,N,N,N,2014
55,White and Black or African American,861,"4,925","4,399","268,149","5,315","2,658","88,436","13,377","7,740","29,050",2014
56,White and American Indian and Alaska Native,"1,799","7,070","3,913","133,317","3,530","2,856","43,573","14,149","5,018","5,668",2014
57,White and Asian,142,"1,572",592,"34,492",965,111,"8,765","2,212","1,121",579,2014
58,Black or African American and American Indian and Alaska Native,"1,092","1,398","1,611","24,694",794,"1,508","6,348","6,689","2,480","1,656",2014
59,Race alone or in combination with one or more other races,40,597,404,"25,047",268,41,"7,661",990,811,"1,002",2014
60,Total population,124,206,0,"4,134",0,314,"1,343",54,11,381,2014
61,White,,,,,,,,,,,2014
62,Black or African American,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2014
63,American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2014
64,Asian,"17,631","111,578","91,108","3,342,952","186,639","54,455","812,893","339,057","204,083","164,157",2014
65,Native Hawaiian and Other Pacific Islander,"1,105","7,621","2,840","259,980","3,427","1,574","48,039","20,983","2,569","6,215",2014
66,Some other race,"53,239","3,482","37,875","115,659","6,888","50,997","45,080","29,101","6,074","4,236",2014
67,HISPANIC OR LATINO AND RACE,390,"4,694","3,584","198,230","3,180",904,"39,188","11,069","3,318","4,120",2014
68,Total population,N,N,N,"16,955",N,N,"4,630","3,607",N,N,2014
69,Hispanic or Latino (of any race),"1,217","6,677","5,370","298,567","6,303","3,070","102,809","15,362","7,818","30,339",2014
70,Mexican,,,,,,,,,,,2014
71,Puerto Rican,"71,828","127,448","137,682","4,087,191","203,361","108,101","1,004,516","401,918","218,844","203,247",2014
72,Cuban,"4,564","44,034","19,128","1,237,680","32,105","12,018","362,438","117,553","31,118","125,428",2014
73,Other Hispanic or Latino,N,"38,354","15,977","1,103,483",N,N,"332,156","104,504","26,807","119,342",2014
74,Not Hispanic or Latino,N,"2,042",724,"24,314",N,N,"5,348","2,378",739,"2,483",2014
75,White alone,N,121,322,"10,631",N,N,"2,153",745,839,67,2014
76,Black or African American alone,N,"3,517","2,105","99,252",N,N,"22,781","9,926","2,733","3,536",2014
77,American Indian and Alaska Native alone,"67,264","83,414","118,554","2,849,511","171,256","96,083","642,078","284,365","187,726","77,819",2014
78,Asian alone,"13,619","71,552","74,950","2,325,050","158,639","45,656","534,711","232,468","176,622","66,777",2014
79,Native Hawaiian and Other Pacific Islander alone,839,"4,243","1,908","200,452","2,078",643,"31,208","17,701","1,241","3,764",2014
80,Some other race alone,"51,753","1,144","35,499","64,026","5,393","47,048","24,893","16,589","3,155","1,676",2014
81,Two or more races,350,"2,420","2,958","159,078","2,462",706,"25,974","6,949","2,265","2,022",2014
82,Two races including Some other race,0,61,106,"8,063",8,62,"1,687","1,406",6,13,2014
83,"Two races excluding Some other race, and Three or more races",0,132,538,"5,703",24,0,"1,147",54,344,0,2014
84,Total housing units,703,"3,862","2,595","87,139","2,652","1,968","22,458","9,198","4,093","3,567",2014
