,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
46,Vietnamese,N,N,91,"24,005",N,N,"4,952",886,264,N,2015
47,Other Asian,N,N,533,"20,172",N,N,"3,430","1,461",153,N,2015
48,Native Hawaiian and Other Pacific Islander,N,194,183,"8,245",130,0,"1,374",587,297,198,2015
49,Native Hawaiian,N,N,N,"1,547",N,N,N,N,N,N,2015
50,Guamanian or Chamorro,N,N,N,"1,101",N,N,N,N,N,N,2015
51,Samoan,N,N,N,"1,859",N,N,N,N,N,N,2015
52,Other Pacific Islander,N,N,N,"3,738",N,N,N,N,N,N,2015
53,Some other race,N,"4,879","4,698","292,856","4,647","4,281","90,312","29,109","3,908","35,694",2015
54,Two or more races,N,"5,347","4,232","134,036","4,203","2,685","38,470","16,660","6,814","4,360",2015
55,White and Black or African American,N,894,"1,431","33,255",738,710,"6,183","3,430","1,580","1,075",2015
56,White and American Indian and Alaska Native,N,"2,695",960,"22,385",789,"1,249","7,784","5,115","3,024",776,2015
57,White and Asian,N,401,"1,169","29,606",823,254,"7,872","1,751","1,473","1,092",2015
58,Black or African American and American Indian and Alaska Native,N,0,34,"2,695",66,130,"1,209",260,17,0,2015
59,Race alone or in combination with one or more other races,,,,,,,,,,,2015
60,Total population,"71,474","126,427","139,097","4,167,947","204,737","108,277","1,010,025","406,584","222,255","204,275",2015
61,White,"18,064","111,112","92,245","3,373,458","188,415","54,287","808,871","328,762","211,122","157,408",2015
62,Black or African American,349,"7,508","3,306","276,685","3,672","2,127","47,730","22,661","2,752","5,893",2015
63,American Indian and Alaska Native,"54,108","3,992","38,573","113,909","6,872","49,299","50,830","27,996","6,845","4,332",2015
64,Asian,N,"4,230","3,950","208,870","4,235",986,"40,966","9,140","3,716","4,169",2015
65,Native Hawaiian and Other Pacific Islander,N,N,313,"17,385",359,N,"3,497","1,733",297,441,2015
66,Some other race,N,"5,298","5,137","322,041","5,845","4,420","100,659","33,558","4,555","36,730",2015
67,HISPANIC OR LATINO AND RACE,,,,,,,,,,,2015
68,Total population,"71,474","126,427","139,097","4,167,947","204,737","108,277","1,010,025","406,584","222,255","204,275",2015
69,Hispanic or Latino (of any race),"4,625","43,831","19,371","1,269,890","33,111","12,153","367,375","119,001","32,023","126,569",2015
70,Mexican,N,"39,437","16,375","1,128,263","28,592",N,"335,296","108,392","28,825","120,974",2015
71,Puerto Rican,N,"1,602",622,"26,949",676,N,"4,993","1,237",966,"1,147",2015
72,Cuban,N,368,88,"10,182",266,N,961,324,236,249,2015
73,Other Hispanic or Latino,N,"2,424","2,286","104,496","3,577",N,"26,125","9,048","1,996","4,199",2015
74,Not Hispanic or Latino,"66,849","82,596","119,726","2,898,057","171,626","96,124","642,650","287,583","190,232","77,706",2015
75,White alone,N,"69,934","76,033","2,350,280","158,047","45,266","533,024","234,617","178,997","66,557",2015
76,Black or African American alone,N,"5,595","1,316","216,064","2,219",875,"33,712","17,107","1,015","4,103",2015
77,American Indian and Alaska Native alone,N,918,"36,334","69,397","5,440","47,157","24,603","18,436","2,529","2,152",2015
78,Asian alone,N,"2,729","2,187","162,955","2,479",674,"28,290","6,433","1,954","2,064",2015
79,Native Hawaiian and Other Pacific Islander alone,N,110,183,"7,389",130,0,"1,259",587,31,198,2015
80,Some other race alone,N,863,249,"3,590",688,92,"1,052",0,109,85,2015
81,Two or more races,N,"2,447","3,424","88,382","2,623","2,060","20,710","10,403","5,597","2,547",2015
82,Two races including Some other race,N,149,84,"2,772",0,0,298,263,76,119,2015
83,"Two races excluding Some other race, and Three or more races",N,"2,298","3,340","85,610","2,623","2,060","20,412","10,140","5,521","2,428",2015
84,Total housing units,"32,746","60,600","64,437","1,693,687","112,850","57,644","452,104","166,426","113,085","90,485",2015
85,"CITIZEN, VOTING AGE POPULATION",,,,,,,,,,,2015
86,"Citizen, 18 and over population","50,517","92,768","106,337","2,789,101","161,260","76,541","726,614","287,162","179,157","124,395",2015
87,Male,"24,611","46,890","50,654","1,361,217","80,802","37,721","353,984","148,691","86,482","65,379",2015
88,Female,"25,906","45,878","55,683","1,427,884","80,458","38,820","372,630","138,471","92,675","59,016",2015
