,County,Value,State (Rate),Year,Content.Area,State (Avg)
164,COCONINO,24.74,41.32,2009,Asthma,
165,GRAHAM,62.9,39.44,2008,Asthma,
166,MOHAVE,57.2,39.44,2008,Asthma,
167,LA PAZ,57.1,39.44,2008,Asthma,
168,COCHISE,53.47,39.44,2008,Asthma,
169,YUMA,52.86,39.44,2008,Asthma,
170,GILA,44.78,39.44,2008,Asthma,
171,YAVAPAI,41.53,39.44,2008,Asthma,
172,MARICOPA,39.61,39.44,2008,Asthma,
173,SANTA CRUZ,38.08,39.44,2008,Asthma,
174,PIMA,35.89,39.44,2008,Asthma,
175,PINAL,35.02,39.44,2008,Asthma,
176,NAVAJO,27.11,39.44,2008,Asthma,
177,COCONINO,24.5,39.44,2008,Asthma,
178,APACHE,20.18,39.44,2008,Asthma,
179,GREENLEE,11.18,39.44,2008,Asthma,
180,GILA,60.02,38.36,2007,Asthma,
181,LA PAZ,59.26,38.36,2007,Asthma,
182,GRAHAM,51.88,38.36,2007,Asthma,
183,COCHISE,51.28,38.36,2007,Asthma,
184,MOHAVE,46.71,38.36,2007,Asthma,
185,YUMA,46.29,38.36,2007,Asthma,
186,YAVAPAI,43.77,38.36,2007,Asthma,
187,MARICOPA,38.65,38.36,2007,Asthma,
188,PIMA,36.5,38.36,2007,Asthma,
189,PINAL,33.22,38.36,2007,Asthma,
190,SANTA CRUZ,31.97,38.36,2007,Asthma,
191,NAVAJO,26.32,38.36,2007,Asthma,
192,APACHE,21.11,38.36,2007,Asthma,
193,COCONINO,20.78,38.36,2007,Asthma,
194,GREENLEE,15.55,38.36,2007,Asthma,
195,LA PAZ,75.41,37.51,2006,Asthma,
196,GRAHAM,67.53,37.51,2006,Asthma,
197,COCHISE,59.69,37.51,2006,Asthma,
198,GILA,53.05,37.51,2006,Asthma,
199,YUMA,43.95,37.51,2006,Asthma,
200,PIMA,41.86,37.51,2006,Asthma,
201,YAVAPAI,41.49,37.51,2006,Asthma,
202,MOHAVE,39.49,37.51,2006,Asthma,
203,MARICOPA,36.07,37.51,2006,Asthma,
204,SANTA CRUZ,35.77,37.51,2006,Asthma,
205,GREENLEE,34.79,37.51,2006,Asthma,
206,PINAL,31.35,37.51,2006,Asthma,
207,COCONINO,26.33,37.51,2006,Asthma,
208,NAVAJO,25.43,37.51,2006,Asthma,
209,APACHE,21.06,37.51,2006,Asthma,
210,LA PAZ,92.83,41.43,2005,Asthma,
211,COCHISE,58.35,41.43,2005,Asthma,
212,GILA,58.13,41.43,2005,Asthma,
213,GRAHAM,51.88,41.43,2005,Asthma,
214,PIMA,48.32,41.43,2005,Asthma,
215,YUMA,45.1,41.43,2005,Asthma,
216,MOHAVE,43.9,41.43,2005,Asthma,
217,MARICOPA,39.99,41.43,2005,Asthma,
218,SANTA CRUZ,36.73,41.43,2005,Asthma,
219,YAVAPAI,36.62,41.43,2005,Asthma,
220,PINAL,36.54,41.43,2005,Asthma,
221,APACHE,31.01,41.43,2005,Asthma,
222,NAVAJO,29.58,41.43,2005,Asthma,
223,COCONINO,28.78,41.43,2005,Asthma,
224,GREENLEE,28.44,41.43,2005,Asthma,
225,GRAHAM,19.9,1.78,2019,Carbon Monoxide Poisoning,
226,COCHISE,7.98,1.78,2019,Carbon Monoxide Poisoning,
227,YAVAPAI,3.86,1.78,2019,Carbon Monoxide Poisoning,
228,PINAL,2.04,1.78,2019,Carbon Monoxide Poisoning,
229,PIMA,1.76,1.78,2019,Carbon Monoxide Poisoning,
230,MARICOPA,1.37,1.78,2019,Carbon Monoxide Poisoning,
231,GREENLEE,0,1.78,2019,Carbon Monoxide Poisoning,
232,LA PAZ,0,1.78,2019,Carbon Monoxide Poisoning,
233,SANTA CRUZ,0,1.78,2019,Carbon Monoxide Poisoning,
234,GRAHAM,16.5,2.13,2018,Carbon Monoxide Poisoning,
235,COCONINO,11.8,2.13,2018,Carbon Monoxide Poisoning,
236,YAVAPAI,9.03,2.13,2018,Carbon Monoxide Poisoning,
237,PIMA,3.79,2.13,2018,Carbon Monoxide Poisoning,
238,MARICOPA,1.18,2.13,2018,Carbon Monoxide Poisoning,
239,GREENLEE,0,2.13,2018,Carbon Monoxide Poisoning,
240,NAVAJO,8.1,1.56,2017,Carbon Monoxide Poisoning,
241,YAVAPAI,7.36,1.56,2017,Carbon Monoxide Poisoning,
242,COCONINO,6.05,1.56,2017,Carbon Monoxide Poisoning,
243,COCHISE,3.62,1.56,2017,Carbon Monoxide Poisoning,
244,PINAL,2.09,1.56,2017,Carbon Monoxide Poisoning,
245,PIMA,1.58,1.56,2017,Carbon Monoxide Poisoning,
246,MARICOPA,0.89,1.56,2017,Carbon Monoxide Poisoning,
247,GILA,0,1.56,2017,Carbon Monoxide Poisoning,
248,GREENLEE,0,1.56,2017,Carbon Monoxide Poisoning,
249,COCONINO,8.36,1.41,2016,Carbon Monoxide Poisoning,
250,COCHISE,7.21,1.41,2016,Carbon Monoxide Poisoning,
251,YAVAPAI,4.97,1.41,2016,Carbon Monoxide Poisoning,
252,PIMA,2.11,1.41,2016,Carbon Monoxide Poisoning,
253,MARICOPA,0.75,1.41,2016,Carbon Monoxide Poisoning,
254,GREENLEE,0,1.41,2016,Carbon Monoxide Poisoning,
255,LA PAZ,0,1.41,2016,Carbon Monoxide Poisoning,
256,COCONINO,10.78,1.56,2015,Carbon Monoxide Poisoning,
257,YAVAPAI,5.56,1.56,2015,Carbon Monoxide Poisoning,
258,MARICOPA,1.21,1.56,2015,Carbon Monoxide Poisoning,
259,PIMA,0.91,1.56,2015,Carbon Monoxide Poisoning,
260,SANTA CRUZ,0,1.56,2015,Carbon Monoxide Poisoning,
261,COCHISE,0,1.56,2015,Carbon Monoxide Poisoning,
262,GRAHAM,17.5,2,2014,Carbon Monoxide Poisoning,
263,NAVAJO,7.13,2,2014,Carbon Monoxide Poisoning,
264,PINAL,3.21,2,2014,Carbon Monoxide Poisoning,
265,YUMA,3.14,2,2014,Carbon Monoxide Poisoning,
266,COCONINO,3.01,2,2014,Carbon Monoxide Poisoning,
267,PIMA,2,2,2014,Carbon Monoxide Poisoning,
268,MARICOPA,1.32,2,2014,Carbon Monoxide Poisoning,
269,APACHE,0,2,2014,Carbon Monoxide Poisoning,
270,GREENLEE,0,2,2014,Carbon Monoxide Poisoning,
271,LA PAZ,0,2,2014,Carbon Monoxide Poisoning,
272,SANTA CRUZ,45.56,1.88,2013,Carbon Monoxide Poisoning,
273,COCHISE,6.27,1.88,2013,Carbon Monoxide Poisoning,
274,MOHAVE,3.42,1.88,2013,Carbon Monoxide Poisoning,
275,YAVAPAI,3.26,1.88,2013,Carbon Monoxide Poisoning,
276,PIMA,1.62,1.88,2013,Carbon Monoxide Poisoning,
277,PINAL,1.6,1.88,2013,Carbon Monoxide Poisoning,
278,MARICOPA,1.11,1.88,2013,Carbon Monoxide Poisoning,
279,GREENLEE,0,1.88,2013,Carbon Monoxide Poisoning,
280,SANTA CRUZ,28.04,2.08,2012,Carbon Monoxide Poisoning,
281,YAVAPAI,9.69,2.08,2012,Carbon Monoxide Poisoning,
282,PIMA,2.34,2.08,2012,Carbon Monoxide Poisoning,
283,MARICOPA,1.59,2.08,2012,Carbon Monoxide Poisoning,
284,GREENLEE,0,2.08,2012,Carbon Monoxide Poisoning,
285,APACHE,0,2.08,2012,Carbon Monoxide Poisoning,
286,COCONINO,12.31,2.24,2011,Carbon Monoxide Poisoning,
287,YUMA,4.28,2.24,2011,Carbon Monoxide Poisoning,
288,YAVAPAI,3.72,2.24,2011,Carbon Monoxide Poisoning,
289,PIMA,2.82,2.24,2011,Carbon Monoxide Poisoning,
290,MOHAVE,2.48,2.24,2011,Carbon Monoxide Poisoning,
291,MARICOPA,1.62,2.24,2011,Carbon Monoxide Poisoning,
292,GREENLEE,0,2.24,2011,Carbon Monoxide Poisoning,
293,GILA,0,2.24,2011,Carbon Monoxide Poisoning,
294,COCONINO,14.99,2.76,2010,Carbon Monoxide Poisoning,
295,APACHE,11.45,2.76,2010,Carbon Monoxide Poisoning,
296,MOHAVE,8.88,2.76,2010,Carbon Monoxide Poisoning,
297,COCHISE,7.14,2.76,2010,Carbon Monoxide Poisoning,
298,NAVAJO,7.03,2.76,2010,Carbon Monoxide Poisoning,
299,YAVAPAI,4.28,2.76,2010,Carbon Monoxide Poisoning,
300,PIMA,2.06,2.76,2010,Carbon Monoxide Poisoning,
301,MARICOPA,1.73,2.76,2010,Carbon Monoxide Poisoning,
302,GREENLEE,0,2.76,2010,Carbon Monoxide Poisoning,
303,LA PAZ,0,2.76,2010,Carbon Monoxide Poisoning,
304,COCONINO,6.92,1.55,2009,Carbon Monoxide Poisoning,
305,PIMA,1.51,1.55,2009,Carbon Monoxide Poisoning,
306,MARICOPA,1.26,1.55,2009,Carbon Monoxide Poisoning,
307,LA PAZ,0,1.55,2009,Carbon Monoxide Poisoning,
308,SANTA CRUZ,0,1.55,2009,Carbon Monoxide Poisoning,
309,MOHAVE,5.15,1.78,2008,Carbon Monoxide Poisoning,
310,YAVAPAI,4.52,1.78,2008,Carbon Monoxide Poisoning,
311,PIMA,3.47,1.78,2008,Carbon Monoxide Poisoning,
312,PINAL,2.41,1.78,2008,Carbon Monoxide Poisoning,
313,MARICOPA,0.96,1.78,2008,Carbon Monoxide Poisoning,
314,GREENLEE,0,1.78,2008,Carbon Monoxide Poisoning,
315,LA PAZ,0,1.78,2008,Carbon Monoxide Poisoning,
316,GRAHAM,19.86,2.49,2007,Carbon Monoxide Poisoning,
317,SANTA CRUZ,13.2,2.49,2007,Carbon Monoxide Poisoning,
318,COCONINO,11.63,2.49,2007,Carbon Monoxide Poisoning,
319,NAVAJO,8.06,2.49,2007,Carbon Monoxide Poisoning,
320,YAVAPAI,6.16,2.49,2007,Carbon Monoxide Poisoning,
321,MOHAVE,6.12,2.49,2007,Carbon Monoxide Poisoning,
322,PIMA,2.58,2.49,2007,Carbon Monoxide Poisoning,
323,PINAL,2.58,2.49,2007,Carbon Monoxide Poisoning,
324,MARICOPA,1.49,2.49,2007,Carbon Monoxide Poisoning,
325,LA PAZ,0,2.49,2007,Carbon Monoxide Poisoning,
326,GILA,0,2.49,2007,Carbon Monoxide Poisoning,
327,YUMA,0,2.49,2007,Carbon Monoxide Poisoning,
328,SANTA CRUZ,24.69,2.23,2006,Carbon Monoxide Poisoning,
329,COCONINO,8.92,2.23,2006,Carbon Monoxide Poisoning,
330,YAVAPAI,4.48,2.23,2006,Carbon Monoxide Poisoning,
331,MOHAVE,3.41,2.23,2006,Carbon Monoxide Poisoning,
332,PIMA,1.94,2.23,2006,Carbon Monoxide Poisoning,
333,MARICOPA,1.67,2.23,2006,Carbon Monoxide Poisoning,
334,APACHE,0,2.23,2006,Carbon Monoxide Poisoning,
335,YUMA,0,2.23,2006,Carbon Monoxide Poisoning,
336,GRAHAM,43.98,2.72,2005,Carbon Monoxide Poisoning,
337,YAVAPAI,15,2.72,2005,Carbon Monoxide Poisoning,
338,COCONINO,13.98,2.72,2005,Carbon Monoxide Poisoning,
339,COCHISE,9.72,2.72,2005,Carbon Monoxide Poisoning,
340,PIMA,3.11,2.72,2005,Carbon Monoxide Poisoning,
341,MARICOPA,1.4,2.72,2005,Carbon Monoxide Poisoning,
342,GILA,0,2.72,2005,Carbon Monoxide Poisoning,
343,GREENLEE,0,2.72,2005,Carbon Monoxide Poisoning,
344,YUMA,0,2.72,2005,Carbon Monoxide Poisoning,
345,MOHAVE,0,2.72,2005,Carbon Monoxide Poisoning,
346,MOHAVE,58.61,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
347,GILA,54.39,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
348,COCHISE,44.59,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
349,LA PAZ,42.54,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
350,YAVAPAI,32.1,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
351,GRAHAM,31.98,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
352,SANTA CRUZ,31.45,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
353,YUMA,29.84,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
354,NAVAJO,26.97,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
355,GREENLEE,25.07,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
356,PIMA,24.77,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
357,PINAL,23.55,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
358,APACHE,20.08,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
359,MARICOPA,19.53,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
360,COCONINO,16.34,23.68,2019,Chronic Obstructive Pulmonary Disease (COPD),
361,MOHAVE,58.62,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
362,COCHISE,46.71,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
363,GILA,46.22,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
364,YAVAPAI,33.75,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
365,LA PAZ,32.9,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
366,GRAHAM,32.84,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
367,PINAL,27.87,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
368,PIMA,25.26,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
369,SANTA CRUZ,23.61,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
370,NAVAJO,23.51,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
371,YUMA,22.35,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
372,MARICOPA,20.52,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
373,COCONINO,18.63,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
374,APACHE,15.65,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
375,GREENLEE,8.05,24.31,2018,Chronic Obstructive Pulmonary Disease (COPD),
376,MOHAVE,76.72,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
377,GILA,72.64,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
378,COCHISE,43.8,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
379,LA PAZ,39.25,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
380,YAVAPAI,39.24,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
381,PINAL,31.52,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
382,GRAHAM,30.65,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
383,SANTA CRUZ,30.38,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
384,PIMA,27.16,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
385,NAVAJO,24.11,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
386,MARICOPA,22.85,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
387,APACHE,22.29,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
388,YUMA,20.56,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
389,GREENLEE,19.36,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
390,COCONINO,18.41,27.27,2017,Chronic Obstructive Pulmonary Disease (COPD),
391,GILA,75.77,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
392,MOHAVE,73.78,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
393,COCHISE,40.03,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
394,YAVAPAI,39.86,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
395,LA PAZ,35.66,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
396,GRAHAM,31.27,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
397,SANTA CRUZ,30.69,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
398,PIMA,29.96,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
399,PINAL,29.49,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
400,NAVAJO,22.79,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
401,MARICOPA,22.74,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
402,YUMA,21.03,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
403,COCONINO,19.08,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
404,APACHE,16.68,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
405,GREENLEE,14.24,27.24,2016,Chronic Obstructive Pulmonary Disease (COPD),
406,GILA,68.3,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
407,LA PAZ,62.15,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
408,MOHAVE,52.48,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
409,GRAHAM,43.15,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
410,YAVAPAI,40.49,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
411,GREENLEE,31.77,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
412,COCHISE,30.91,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
413,PIMA,28.26,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
414,PINAL,27.91,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
415,SANTA CRUZ,23.94,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
416,MARICOPA,23.91,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
417,NAVAJO,21.93,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
418,APACHE,20.22,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
419,YUMA,18.86,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
420,COCONINO,14.94,26.73,2015,Chronic Obstructive Pulmonary Disease (COPD),
421,GILA,62.97,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
422,MOHAVE,42.36,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
423,YAVAPAI,37.55,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
424,NAVAJO,36.54,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
425,GRAHAM,35.73,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
426,COCHISE,35.12,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
427,LA PAZ,34.22,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
428,PINAL,28.86,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
429,PIMA,23.66,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
430,APACHE,23.63,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
431,GREENLEE,23.26,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
432,MARICOPA,21.38,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
433,COCONINO,18.81,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
434,SANTA CRUZ,16.95,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
435,YUMA,16.57,24.28,2014,Chronic Obstructive Pulmonary Disease (COPD),
436,GILA,59.13,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
437,LA PAZ,55.74,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
