,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
77,Cuban,N,59,N,"11,749","1,432",N,"2,340",833,483,652,2019
78,Other Hispanic or Latino,N,"3,291",N,"149,974","4,658",N,"28,882","10,721","6,859","4,274",2019
79,Not Hispanic or Latino,"67,151","80,934","122,934","3,076,559","176,262","98,182","651,833","320,513","200,457","75,657",2019
80,White alone,"12,935","68,968","77,608","2,437,462","162,524","45,998","535,435","259,125","188,004","64,294",2019
81,Black or African American alone,721,"4,713","1,287","248,228","1,441",943,"35,055","20,529","1,929","2,825",2019
82,American Indian and Alaska Native alone,"52,536",415,"36,474","76,504","3,745","49,053","25,427","21,793","4,055","2,147",2019
83,Asian alone,160,"2,614","2,730","187,233","1,923",128,"28,844","5,945","2,467","2,388",2019
84,Native Hawaiian and Other Pacific Islander alone,15,129,419,"9,438",138,136,"1,599","1,197",51,176,2019
85,Some other race alone,218,0,0,"8,045",0,151,751,401,473,71,2019
86,Two or more races,566,"4,095","4,416","109,649","6,491","1,773","24,722","11,523","3,478","3,756",2019
87,Two races including Some other race,0,0,0,"3,919",311,41,687,63,0,88,2019
88,"Two races excluding Some other race, and Three or more races",566,"4,095","4,416","105,730","6,180","1,732","24,035","11,460","3,478","3,668",2019
89,Total housing units,"33,021","61,588","67,491","1,789,265","116,201","58,501","466,337","181,389","120,652","94,648",2019
90,"CITIZEN, VOTING AGE POPULATION",,,,,,,,,,,2019
91,"Citizen, 18 and over population","52,650","93,194","112,926","3,082,468","171,003","80,410","761,110","339,589","189,559","131,800",2019
92,Male,"26,167","48,203","55,075","1,503,528","86,451","40,165","371,071","178,886","92,791","69,067",2019
93,Female,"26,483","44,991","57,851","1,578,940","84,552","40,245","390,039","160,703","96,768","62,733",2019
