,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
25,18 years and over,"52,301","99,523","113,399","3,358,039","173,941","81,102","822,779","345,995","194,700","158,496",2018
26,Male,"25,594","50,980","55,383","1,644,262","87,829","40,247","400,483","181,152","93,751","81,851",2018
27,Female,"26,707","48,543","58,016","1,713,777","86,112","40,855","422,296","164,843","100,949","76,645",2018
28,Sex ratio (males per 100 females),95.8,105.0,95.5,95.9,102.0,98.5,94.8,109.9,92.9,106.8,2018
29,65 years and over,"10,932","28,402","17,813","669,199","63,794","20,162","205,547","90,825","73,656","39,979",2018
30,Male,"4,938","13,628","8,589","301,634","31,652","9,481","93,110","43,946","34,951","19,118",2018
31,Female,"5,994","14,774","9,224","367,565","32,142","10,681","112,437","46,879","38,705","20,861",2018
32,Sex ratio (males per 100 females),82.4,92.2,93.1,82.1,98.5,88.8,82.8,93.7,90.3,91.6,2018
33,RACE,,,,,,,,,,,2018
34,Total population,"71,818","126,770","142,854","4,410,824","209,550","110,445","1,039,073","447,138","231,993","212,128",2018
35,One race,"71,591","121,445","138,349","4,239,654","205,218","107,928","979,085","426,585","223,676","206,045",2018
36,Two or more races,227,"5,325","4,505","171,170","4,332","2,517","59,988","20,553","8,317","6,083",2018
37,One race,"71,591","121,445","138,349","4,239,654","205,218","107,928","979,085","426,585","223,676","206,045",2018
38,White,"16,256","109,392","90,589","3,466,879","191,170","53,702","771,880","359,718","209,300","185,580",2018
39,Black or African American,411,"4,814","1,882","257,889","2,409",892,"37,940","19,947","1,876","5,942",2018
40,American Indian and Alaska Native,"53,873","1,738","38,177","91,630","4,346","49,902","45,440","22,140","2,296","2,428",2018
41,Cherokee tribal grouping,N,N,294,"1,485",N,N,728,891,N,N,2018
42,Chippewa tribal grouping,N,N,0,156,N,N,107,0,N,N,2018
43,Navajo tribal grouping,N,N,"31,011","30,011",N,N,"3,644","2,920",N,N,2018
44,Sioux tribal grouping,N,N,87,373,N,N,306,34,N,N,2018
45,Asian,416,"2,511","2,687","184,809","2,518",636,"30,481","7,233","2,581","3,254",2018
46,Asian Indian,N,130,N,"51,295",N,N,"5,717",507,N,N,2018
47,Chinese,N,139,N,"36,552",N,N,"7,286","1,107",N,N,2018
48,Filipino,N,357,N,"32,336",N,N,"3,775","3,487",N,N,2018
49,Japanese,N,469,N,"8,591",N,N,"1,392",288,N,N,2018
50,Korean,N,752,N,"10,724",N,N,"2,473",322,N,N,2018
51,Vietnamese,N,579,N,"21,519",N,N,"4,203",362,N,N,2018
52,Other Asian,N,85,N,"23,792",N,N,"5,635","1,160",N,N,2018
53,Native Hawaiian and Other Pacific Islander,59,210,0,"10,478","1,492",9,"1,431","1,487",367,91,2018
54,Native Hawaiian,N,N,N,"2,137",N,N,N,N,N,N,2018
55,Guamanian or Chamorro,N,N,N,"2,217",N,N,N,N,N,N,2018
56,Samoan,N,N,N,982,N,N,N,N,N,N,2018
57,Other Pacific Islander,N,N,N,"5,142",N,N,N,N,N,N,2018
58,Some other race,576,"2,780","5,014","227,969","3,283","2,787","91,913","16,060","7,256","8,750",2018
59,Two or more races,227,"5,325","4,505","171,170","4,332","2,517","59,988","20,553","8,317","6,083",2018
60,White and Black or African American,N,"1,527",139,"45,111",889,195,"10,033","5,330",496,"1,307",2018
61,White and American Indian and Alaska Native,N,660,"2,065","23,806","2,155","1,259","21,794","5,762","4,551","1,644",2018
62,White and Asian,N,750,"1,151","43,649",522,284,"11,638","1,980",723,506,2018
63,Black or African American and American Indian and Alaska Native,N,47,0,"5,884",0,102,403,"1,274",267,198,2018
64,Race alone or in combination with one or more other races,,,,,,,,,,,2018
65,Total population,"71,818","126,770","142,854","4,410,824","209,550","110,445","1,039,073","447,138","231,993","212,128",2018
66,White,"16,437","114,042","94,905","3,614,022","195,108","55,963","823,552","376,948","216,974","191,309",2018
67,Black or African American,435,"6,728","2,575","322,929","3,298","1,189","53,256","27,826","3,055","7,931",2018
68,American Indian and Alaska Native,"54,058","2,551","40,939","131,157","6,530","51,524","73,954","30,021","7,839","4,732",2018
69,Asian,450,"3,846","4,663","244,080","3,405","1,170","44,720","11,241","3,626","3,774",2018
70,Native Hawaiian and Other Pacific Islander,N,"1,131",N,"19,568","1,910",537,"3,281","3,960","1,564",199,2018
71,Some other race,606,"4,050","5,146","263,648","3,721","2,936","104,130","19,123","8,409","10,702",2018
72,HISPANIC OR LATINO AND RACE,,,,,,,,,,,2018
73,Total population,"71,818","126,770","142,854","4,410,824","209,550","110,445","1,039,073","447,138","231,993","212,128",2018
74,Hispanic or Latino (of any race),"4,590","45,172","20,389","1,379,637","35,269","12,649","390,183","136,046","34,046","136,425",2018
75,Mexican,N,"39,881","17,280","1,179,475","29,016",N,"350,607","122,892","29,836","127,923",2018
76,Puerto Rican,N,"3,039",726,"39,934","1,753",N,"9,502","3,256",284,"3,720",2018
77,Cuban,N,145,183,"13,564",523,N,"1,256",304,506,436,2018
78,Other Hispanic or Latino,N,"2,107","2,200","146,664","3,977",N,"28,818","9,594","3,420","4,346",2018
79,Not Hispanic or Latino,"67,228","81,598","122,465","3,031,187","174,281","97,796","648,890","311,092","197,947","75,703",2018
80,White alone,"12,998","69,219","76,747","2,415,129","161,051","45,949","532,748","252,935","186,424","64,460",2018
81,Black or African American alone,411,"4,259","1,800","241,331","2,165",527,"34,331","18,403","1,724","3,536",2018
82,American Indian and Alaska Native alone,"53,128","1,213","36,977","71,043","3,669","48,379","25,461","17,792","1,727","1,884",2018
83,Asian alone,416,"2,511","2,451","180,597","2,518",636,"29,403","7,106","2,581","3,139",2018
84,Native Hawaiian and Other Pacific Islander alone,59,210,0,"9,673","1,302",9,"1,211","1,255",367,91,2018
85,Some other race alone,19,233,329,"7,000",0,0,"1,696",571,71,41,2018
86,Two or more races,197,"3,953","4,161","106,414","3,576","2,296","24,040","13,030","5,053","2,552",2018
87,Two races including Some other race,0,168,114,"3,083",192,102,927,60,91,23,2018
88,"Two races excluding Some other race, and Three or more races",197,"3,785","4,047","103,331","3,384","2,194","23,113","12,970","4,962","2,529",2018
89,Total housing units,"32,942","61,318","66,838","1,762,981","115,269","58,164","462,778","177,186","118,410","93,571",2018
90,"CITIZEN, VOTING AGE POPULATION",,,,,,,,,,,2018
91,"Citizen, 18 and over population","51,726","94,652","108,648","3,005,167","168,241","79,851","759,384","328,413","188,320","130,675",2018
92,Male,"25,301","48,340","52,332","1,465,310","85,897","39,598","370,968","171,355","90,454","68,637",2018
93,Female,"26,425","46,312","56,316","1,539,857","82,344","40,253","388,416","157,058","97,866","62,038",2018
