,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
35,American Indian and Alaska Native,"17,330","97,616","83,427","3,160,235","178,872","53,175","790,968","296,684","193,972","151,897",2011
36,Cherokee tribal grouping,339,"5,101","1,827","194,407","2,525",426,"37,575","17,137","1,321","4,077",2011
37,Chippewa tribal grouping,"51,383","1,554","36,926","73,511","4,439","46,764","31,790","19,500","3,932","3,543",2011
38,Navajo tribal grouping,N,N,N,"1,412",64,N,565,N,N,N,2011
39,Sioux tribal grouping,N,N,N,"1,618",66,N,136,N,N,N,2011
40,Asian,N,N,N,"27,080",508,N,"2,782",N,N,N,2011
41,Asian Indian,N,N,N,"1,652",99,N,244,N,N,N,2011
42,Chinese,552,"2,327","1,894","133,072","1,383",831,"26,930","5,616","1,742","2,592",2011
43,Filipino,N,N,N,"27,973",N,N,"2,155",N,N,N,2011
44,Japanese,N,N,N,"24,848",N,N,"8,022",N,N,N,2011
45,Korean,N,N,N,"25,762",N,N,"4,644",N,N,N,2011
46,Vietnamese,N,N,N,"5,960",N,N,"2,543",N,N,N,2011
47,Other Asian,N,N,N,"11,618",N,N,"2,610",N,N,N,2011
48,Native Hawaiian and Other Pacific Islander,N,N,N,"22,110",N,N,"2,559",N,N,N,2011
49,Native Hawaiian,N,N,N,"14,801",N,N,"4,397",N,N,N,2011
50,Guamanian or Chamorro,398,384,60,"7,880",209,0,"1,657",848,107,54,2011
51,Samoan,N,N,N,"3,118",N,N,N,N,N,N,2011
52,Other Pacific Islander,N,N,N,406,N,N,N,N,N,N,2011
53,Some other race,N,N,N,791,N,N,N,N,N,N,2011
54,Two or more races,N,N,N,"3,565",N,N,N,N,N,N,2011
55,White and Black or African American,"1,332","16,679","6,083","206,022","3,179","2,388","72,730","28,510","4,068","34,602",2011
56,White and American Indian and Alaska Native,"1,067","9,628","4,294","105,117","11,744","3,814","27,919","14,697","6,746","4,105",2011
57,White and Asian,N,"1,715",533,"26,026",881,6,"5,015","3,541",660,"1,370",2011
58,Black or African American and American Indian and Alaska Native,N,"1,574",634,"14,402","6,600","2,099","4,845","1,574","1,518",833,2011
59,Race alone or in combination with one or more other races,N,"1,162",799,"25,965","1,203",82,"6,007","2,074","1,256",401,2011
60,Total population,N,331,137,"1,912",0,287,"1,016",538,139,60,2011
61,White,,,,,,,,,,,2011
62,Black or African American,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2011
63,American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2011
64,Asian,"18,339","106,433","86,801","3,253,253","189,791","56,469","815,259","306,195","198,637","155,657",2011
65,Native Hawaiian and Other Pacific Islander,347,"7,571","3,102","229,545","3,682",719,"44,916","24,021","2,269","5,550",2011
66,Some other race,"52,363","3,885","38,042","96,095","11,199","49,742","39,266","24,477","7,680","4,648",2011
67,HISPANIC OR LATINO AND RACE,639,"4,153","2,904","169,022","4,093","1,159","35,143","10,753","3,513","3,366",2011
68,Total population,448,669,167,"14,416","1,179",N,"2,739","1,531",N,N,2011
69,Hispanic or Latino (of any race),"1,332","20,769","8,092","231,053","5,238","3,377","82,025","32,249","7,022","35,769",2011
70,Mexican,,,,,,,,,,,2011
71,Puerto Rican,"72,401","133,289","134,511","3,880,244","202,351","107,398","989,569","382,992","211,888","200,870",2011
72,Cuban,"4,895","43,494","18,670","1,162,596","30,662","11,967","346,986","110,063","29,445","120,794",2011
73,Other Hispanic or Latino,N,"38,500",N,"1,057,635",N,N,"315,721","102,297",N,"114,759",2011
74,Not Hispanic or Latino,N,"1,631",N,"14,865",N,N,"5,299","2,067",N,"1,160",2011
75,White alone,N,382,N,"6,386",N,N,"1,849",280,N,37,2011
76,Black or African American alone,N,"2,981",N,"83,710",N,N,"24,117","5,419",N,"4,838",2011
77,American Indian and Alaska Native alone,"67,506","89,795","115,841","2,717,648","171,689","95,431","642,583","272,929","182,443","80,076",2011
78,Asian alone,"14,625","77,078","74,026","2,256,507","159,655","46,681","540,767","224,150","172,753","69,590",2011
79,Native Hawaiian and Other Pacific Islander alone,339,"4,926","1,760","185,403","1,661",426,"32,870","16,935","1,184","3,616",2011
80,Some other race alone,"50,646",648,"35,987","62,802","2,715","45,284","24,896","18,286","3,301","2,746",2011
81,Two or more races,552,"2,327","1,894","131,889","1,383",831,"24,956","5,405","1,742","2,489",2011
82,Two races including Some other race,398,384,60,"7,209",24,0,"1,657",805,107,54,2011
83,"Two races excluding Some other race, and Three or more races",0,52,62,"4,089",163,98,"1,656",0,18,0,2011
84,Total housing units,946,"4,380","2,052","69,749","6,088","2,111","15,781","7,348","3,338","1,581",2011
