,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
28,RACE,"4,976","12,614","7,896","279,340","29,319","8,599","87,822","40,513","32,612","18,161",2016
29,Total population,"5,657","13,938","8,751","340,589","29,622","9,731","105,912","42,897","34,768","19,835",2016
30,One race,,,,,,,,,,,2016
31,Two or more races,"73,112","125,770","140,908","4,242,997","205,249","110,026","1,016,206","418,540","225,562","205,631",2016
32,One race,"70,648","121,981","135,887","4,090,536","199,775","105,734","966,499","405,908","221,181","200,450",2016
33,White,"2,464","3,789","5,021","152,461","5,474","4,292","49,707","12,632","4,381","5,181",2016
34,Black or African American,"70,648","121,981","135,887","4,090,536","199,775","105,734","966,499","405,908","221,181","200,450",2016
35,American Indian and Alaska Native,"16,162","109,899","91,167","3,227,510","187,492","50,543","774,608","337,571","209,960","112,651",2016
36,Cherokee tribal grouping,112,"5,077","2,166","230,642","1,614",755,"34,344","18,679","1,130","3,696",2016
37,Chippewa tribal grouping,"53,520","1,875","37,010","82,300","4,870","49,003","32,670","21,796","3,491","2,926",2016
38,Navajo tribal grouping,N,N,N,"1,865",445,N,452,N,N,N,2016
39,Sioux tribal grouping,N,N,N,377,0,N,453,N,N,N,2016
40,Asian,N,N,N,"32,164",453,N,"3,270",N,N,N,2016
41,Asian Indian,N,N,N,740,0,N,321,N,N,N,2016
42,Chinese,106,"2,783","2,670","168,720","2,029",897,"28,713","8,568","2,368","2,719",2016
43,Filipino,N,N,750,"44,864",N,N,"2,921",816,109,293,2016
44,Japanese,N,N,635,"31,370",N,N,"7,819","1,781",571,507,2016
45,Korean,N,N,335,"30,345",N,N,"6,672","2,796","1,048","1,047",2016
46,Vietnamese,N,N,89,"6,047",N,N,"2,089",459,292,153,2016
47,Other Asian,N,N,383,"10,084",N,N,"2,245",225,76,195,2016
48,Native Hawaiian and Other Pacific Islander,N,N,201,"22,839",N,N,"3,649","1,461",0,365,2016
49,Native Hawaiian,N,N,277,"23,171",N,N,"3,318","1,030",272,159,2016
50,Guamanian or Chamorro,54,434,163,"9,808",231,0,"1,550","1,357",207,266,2016
51,Samoan,N,N,N,"2,184",N,N,N,N,N,N,2016
52,Other Pacific Islander,N,N,N,"1,867",N,N,N,N,N,N,2016
53,Some other race,N,N,N,441,N,N,N,N,N,N,2016
54,Two or more races,N,N,N,"5,316",N,N,N,N,N,N,2016
55,White and Black or African American,694,"1,913","2,711","371,556","3,539","4,536","94,614","17,937","4,025","78,192",2016
56,White and American Indian and Alaska Native,"2,464","3,789","5,021","152,461","5,474","4,292","49,707","12,632","4,381","5,181",2016
57,White and Asian,0,"1,238",502,"35,279","1,673",613,"9,020","3,185","1,091",566,2016
58,Black or African American and American Indian and Alaska Native,801,823,"2,268","25,869","1,373","2,570","11,148","3,816","1,628","1,155",2016
59,Race alone or in combination with one or more other races,41,388,673,"30,377",701,351,"9,071","1,107",828,635,2016
60,Total population,405,54,233,"4,658",0,406,"1,627",701,23,"1,576",2016
61,White,,,,,,,,,,,2016
62,Black or African American,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2016
63,American Indian and Alaska Native,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2016
64,Asian,"1,095","6,864","3,216","283,940","3,709","1,774","49,893","23,997","2,424","6,223",2016
65,Native Hawaiian and Other Pacific Islander,"55,497","2,933","39,954","124,144","6,460","52,294","53,214","27,083","5,397","5,929",2016
66,Some other race,502,"3,751","3,721","215,254","3,435","1,248","42,277","11,121","3,386","3,593",2016
67,HISPANIC OR LATINO AND RACE,340,736,709,"20,842","1,157",N,"3,952","2,590",641,718,2016
68,Total population,981,"2,478","3,195","409,213","4,028","4,833","108,530","19,625","4,266","78,893",2016
69,Hispanic or Latino (of any race),,,,,,,,,,,2016
70,Mexican,"73,112","125,770","140,908","4,242,997","205,249","110,026","1,016,206","418,540","225,562","205,631",2016
71,Puerto Rican,"4,306","44,044","19,486","1,302,419","33,244","12,330","373,956","123,040","32,369","129,159",2016
72,Cuban,N,"40,421","15,462","1,148,110","29,225",N,"336,189","114,156",N,"125,258",2016
73,Other Hispanic or Latino,N,"1,734",429,"29,208",767,N,"8,668","1,438",N,974,2016
74,Not Hispanic or Latino,N,59,62,"11,276",290,N,"1,996",90,N,327,2016
75,White alone,N,"1,830","3,533","113,825","2,962",N,"27,103","7,356",N,"2,600",2016
76,Black or African American alone,"68,806","81,726","121,422","2,940,578","172,005","97,696","642,250","295,500","193,193","76,472",2016
77,American Indian and Alaska Native alone,"13,172","69,824","76,816","2,373,045","159,497","44,981","532,392","241,497","182,201","65,374",2016
78,Asian alone,112,"4,829","1,987","221,266","1,511",648,"31,762","16,976","1,130","3,048",2016
79,Native Hawaiian and Other Pacific Islander alone,"53,050","1,448","36,111","66,973","4,522","47,705","24,232","19,155","3,303","1,841",2016
80,Some other race alone,106,"2,783","2,485","165,037","1,983",897,"27,121","8,189","2,258","2,459",2016
81,Two or more races,54,434,163,"9,181",231,0,"1,082","1,240",207,172,2016
82,Two races including Some other race,0,45,192,"7,080",92,385,"1,107","1,031",0,140,2016
83,"Two races excluding Some other race, and Three or more races","2,312","2,363","3,668","97,996","4,169","3,080","24,554","7,412","4,094","3,438",2016
84,Total housing units,135,277,129,"3,323",0,0,920,243,54,106,2016
85,"CITIZEN, VOTING AGE POPULATION","2,177","2,086","3,539","94,673","4,169","3,080","23,634","7,169","4,040","3,332",2016
86,"Citizen, 18 and over population","32,798","60,871","65,278","1,711,390","113,817","57,813","456,576","170,708","114,797","91,314",2016
87,Male,,,,,,,,,,,2016
88,Female,"51,823","91,739","109,693","2,851,683","163,384","77,372","728,924","300,002","183,515","125,711",2016
